rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	001	O	21	22	1	13	12	17	2
T	001	O	22	19	0	9	8	23	2
T	001	O	22	19	0	11	10	19	2
T	001	O	22	19	0	13	12	15	2
T	001	O	22	19	1	9	10	23	2
T	001	O	22	19	1	10	11	21	4
T	001	O	22	20	0	10	8	22	11
T	001	O	22	20	0	11	9	20	5
T	001	O	22	20	0	13	11	16	2
T	001	O	22	20	0	14	12	14	2
T	001	O	22	20	1	8	8	26	2
T	001	O	22	20	1	9	9	24	6
T	001	O	22	20	1	10	10	22	7
T	001	O	22	20	1	12	12	18	5
T	001	O	22	21	0	10	7	23	4
T	001	O	22	21	0	11	8	21	3
T	001	O	22	21	0	12	9	19	3
T	001	O	22	21	0	14	11	15	2
T	001	O	22	21	1	8	7	27	8
T	001	O	22	21	1	10	9	23	3
T	001	O	22	21	1	11	10	21	2
T	001	O	22	21	1	12	11	19	1
T	001	O	22	21	1	13	12	17	2
T	001	O	22	22	1	8	6	28	2
G	001	C	22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19
T	001	C	19	19	0	6	8	26	2
T	001	C	19	20	0	7	8	25	8
T	001	C	19	20	0	9	10	21	3
T	001	C	19	20	0	10	11	19	2
T	001	C	19	20	0	11	12	17	1
T	001	C	19	20	0	12	13	15	2
T	001	C	19	20	1	7	10	25	4
T	001	C	19	20	1	8	11	23	3
T	001	C	19	20	1	9	12	21	3
T	001	C	19	20	1	11	14	17	2
T	001	C	19	21	0	8	8	24	2
T	001	C	19	21	0	9	9	22	6
T	001	C	19	21	0	10	10	20	7
T	001	C	19	21	0	12	12	16	5
T	001	C	19	21	1	8	10	24	11
T	001	C	19	21	1	9	11	22	5
T	001	C	19	21	1	11	13	18	2
T	001	C	19	21	1	12	14	16	2
T	001	C	19	22	0	10	9	21	2
T	001	C	19	22	0	11	10	19	4
T	001	C	19	22	1	8	9	25	2
T	001	C	19	22	1	10	11	21	2
T	001	C	19	22	1	12	13	17	2
T	001	C	20	19	0	7	8	25	8
T	001	C	20	19	0	9	10	21	3
T	001	C	20	19	0	10	11	19	2
T	001	C	20	19	0	11	12	17	1
T	001	C	20	19	0	12	13	15	2
T	001	C	20	19	1	7	10	25	4
T	001	C	20	19	1	8	11	23	3
T	001	C	20	19	1	9	12	21	3
